"","ResponseId","E53","E53_ln","C9b_TWer","sex_imp_mf","age_mean","age_mean_sq","race_3_imp_mf_1","race_3_imp_mf_2","race_3_imp_mf_3","edu_1","edu_2","edu_3","hhincome_1","hhincome_2","hhincome_3","B2b_6","worker_ft_B3b_binary","worker_ft_B3b_binary.1","C5min_month","E2","D11bcd","D2_2","D2_3","D2_4","FAC_A2_prolargehouse_sd","FAC_A4_proactivemode_sd","FAC_A6_procarowning_sd","FAC_B1_WIF_sd","FAC_B2_proteamwork_sd","FAC_C1_tw_effective_teamwork_sd","FAC_C5_tw_enthusiasm_sd","FAC_C7_tw_location_flex_sd","region_WAA","cond_travel","wt_new_county_trim_pop"
"2","R_0BvYKTpBPLvngn7",50,3.93182563272433,3,0,6.2554321583776,39.1304314880646,0,0,1,0,0,1,0,1,0,0,1,1,20,1,0,1,0,0,-0.0090895525173994,1.14520447170621,2.88078981506407,-1.93240139227159,2.14067847846579,0.521195210715937,-0.565429394256075,-1.16802828126193,1,FALSE,2.60417056095063
"3","R_0DmGzLAgOclfvO1",60,4.11087386417331,2,0,15.2554321583776,232.728210338861,0,0,1,0,0,1,0,1,0,0,1,1,20,1,0,1,0,0,-0.902205125762021,1.39236415868044,1.59923993003442,-0.102917788912149,1.17798310976585,1.53824614006172,-0.466966376254435,-0.713597279488128,0,FALSE,2.55305114711028
"4","R_0e0DU8TxSsDeC1r",25,3.25809653802148,3,0,-4.74456784162241,22.5109240037575,0,1,0,0,0,1,0,1,0,0,1,1,20,1,0,1,0,0,0.441537304413787,0.192451516133247,2.68178793221686,0.908692832374553,-0.836191864104945,0.677774860348929,0.727512777160214,0.258809107347821,0,FALSE,1.72164433198242
"5","R_0eMzu64r1sQK8SJ",5,1.79175946922805,3,1,17.2554321583776,297.749938972372,1,0,0,0,0,1,0,0,1,0,1,1,20,2,0,1,0,0,1.42989571491557,-0.193750537888191,1.78104604259704,1.17393380869531,-2.05414198342852,0.992949227368909,1.59985346724845,0.850485861178057,1,TRUE,1.31403876016413
"6","R_0fkyoSpbUmBphER",24,3.2188758248682,1,1,-6.7445678416224,45.4891953702471,1,0,0,0,1,0,0,1,0,0,1,1,6,3,1,0,1,0,-0.921376599312134,1.07812403771757,2.53777427398447,1.10244830392176,-1.69442270637335,0.654680800013058,-0.488496560877034,1.41250725554708,1,FALSE,0.133642046391068
"7","R_0fzrHbAwIdeSYc9",100,4.61512051684126,1,1,-22.7445678416224,517.315366302164,1,0,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0.0851963252132714,-0.821719867530106,1.29669160011054,0.183359207927915,0.383437930483451,0.122450317308857,-0.628649831758184,-0.687671822434403,1,FALSE,0.606194820831075
"8","R_0IG6FTjmsd6jww9",700,6.55250788703459,1,1,-11.7445678416224,137.934873786471,1,0,0,1,0,0,1,0,0,1,1,1,20,1,0,0,0,1,0.430510079442135,0.704265224547369,2.35725767832221,-1.56404241920781,-0.969316903445612,-0.243943024761001,1.21123526421318,0.408383444765077,1,FALSE,1.5305863546229
"10","R_0lnpT9BfhxzpbKp",100,4.61512051684126,3,1,-14.7445678416224,217.402280836206,1,0,0,0,0,1,1,0,0,0,1,1,20,1,0,1,0,0,0.112001335098407,-0.358240524817182,0.659969206939357,0.0133802122095155,0.42645134519368,1.32125266160775,0.420510434092095,0.474673607051854,1,FALSE,0.0609312419159439
"12","R_0oKnUcu87wE771f",25,3.25809653802148,1,0,-3.74456784162241,14.0217883205127,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1.96260861442844,-1.90106889307988,2.84330815320849,-1.88337290493999,2.14848716523549,0.406711726594218,-1.44500084172554,-2.49676981101084,1,FALSE,7.29296467558718
"13","R_0P5XA98Va9Bm1ot",50,3.93182563272433,1,1,1.25543215837759,1.57610990428863,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,0,-0.480060884401334,-0.0638564746835779,2.60918322149441,-0.19249302151735,0.341513217010808,1.12171757860077,-0.372724472276754,0.630704117367047,1,FALSE,1.14128498544647
